iter	MultiClass
327	0.8267401975
328	0.8266016124
329	0.8264071403
330	0.8261335024
331	0.825865428
332	0.8256457037
333	0.8255344521
334	0.8253239579
335	0.8250728997
336	0.8248491152
337	0.8246569255
338	0.8245029866
339	0.8242198231
340	0.8239423062
341	0.8236635593
342	0.8235219545
343	0.8233444232
344	0.823212702
345	0.8229186844
346	0.8226912967
347	0.8224130695
348	0.8222127083
349	0.8219260478
350	0.8217657301
351	0.8216195402
352	0.8215078052
353	0.8212943063
354	0.8210679592
355	0.8207901443
356	0.8205755681
357	0.820344387
358	0.8201624311
359	0.8199123296
360	0.8196401517
361	0.8193875526
362	0.8191994161
363	0.8190884173
364	0.8189056391
365	0.8186907008
366	0.8184313281
367	0.8181776043
368	0.817958995
369	0.8176599043
370	0.8175372916
371	0.8172672401
372	0.8170786953
373	0.8168931462
374	0.8166464835
375	0.8163840881
376	0.8161385049
377	0.8158703134
378	0.8157255508
379	0.8153965378
380	0.8151747156
381	0.8149199954
382	0.8146409497
383	0.8143953367
384	0.8141351658
385	0.8139161326
386	0.8137293271
387	0.8134968351
388	0.8132565771
389	0.8129966095
390	0.8127467195
391	0.8125074572
392	0.8121953711
393	0.8118544119
394	0.8116139317
395	0.8115046422
396	0.8112781231
397	0.8110140491
398	0.8107878146
399	0.8105199992
400	0.8102757243
401	0.8100663865
402	0.8098930984
403	0.8097393563
404	0.8095496729
405	0.8092155609
406	0.809026452
407	0.8087021015
408	0.8084656602
409	0.8082728229
410	0.8080401507
411	0.8078933326
412	0.8077023003
413	0.8075540094
414	0.8073446276
415	0.8071389311
416	0.8069456733
417	0.8067517555
418	0.8065922719
419	0.8064015496
420	0.8062732029
421	0.8060118832
422	0.8057176044
423	0.8055659289
424	0.8053408515
425	0.805087086
426	0.804774049
427	0.8046409826
428	0.8044059379
429	0.8042689125
430	0.8041277625
431	0.8038734298
432	0.8037393735
433	0.803422563
434	0.8032130636
435	0.8031202282
436	0.8029474466
437	0.8026620098
438	0.8025037142
439	0.8022249631
440	0.801983443
441	0.8017339886
442	0.8015380262
443	0.8013165329
444	0.8010340268
445	0.800833294
446	0.80058862
447	0.8003547894
448	0.8000297843
449	0.7997173
450	0.7994432062
451	0.7991894677
452	0.7989239147
453	0.7987812964
454	0.7986153371
455	0.7984506341
456	0.7983558942
457	0.7982431703
458	0.798015934
459	0.7977510552
460	0.7976008187
461	0.7973558678
462	0.7971320653
463	0.7969412432
464	0.7967223625
465	0.7964844663
466	0.7963174616
467	0.7961079931
468	0.7959188209
469	0.795780532
470	0.7956295236
471	0.795371481
472	0.7951993312
473	0.7949223884
474	0.7947193105
475	0.7944846592
476	0.794255292
477	0.7940249698
478	0.7937764253
479	0.793519871
480	0.7933597405
481	0.7931717285
482	0.7929699443
483	0.7928305784
484	0.7926581959
485	0.7924179916
486	0.7921964025
487	0.7919499248
488	0.7917053741
489	0.7914917341
490	0.7913193289
491	0.7910696089
492	0.790782785
493	0.7905293864
494	0.7903918892
495	0.7901748923
496	0.7899209972
497	0.789765804
498	0.7895643547
499	0.7893977377
500	0.7892204677
501	0.7890273931
502	0.7888647671
503	0.788732985
504	0.7885006693
505	0.7882386223
506	0.787963367
507	0.7877147872
508	0.7875002018
509	0.7872739813
510	0.7870831036
511	0.7868949814
512	0.786741537
513	0.7865824428
514	0.7863506068
515	0.7860916309
516	0.7858879868
517	0.7856750533
518	0.7854306477
519	0.7851773669
520	0.7849643265
521	0.7847158078
522	0.7844149311
523	0.7842108028
524	0.7839841497
525	0.7838291768
526	0.783607404
527	0.783397681
528	0.7832227309
529	0.783026634
530	0.78276577
531	0.7826280756
532	0.7824379905
533	0.7822730267
534	0.7820720583
535	0.7818710396
536	0.7817397857
537	0.7815404441
538	0.781278023
539	0.7810319111
540	0.7807932132
541	0.7805590141
542	0.7804087247
543	0.7801636738
544	0.7799038554
545	0.7796207272
546	0.7794351295
547	0.7791728709
548	0.778941615
549	0.7787475486
550	0.7785612355
551	0.7784380692
552	0.7782178899
553	0.778076845
554	0.7779113957
555	0.7777693979
556	0.7775954316
557	0.777403082
558	0.7771358001
559	0.7769187044
560	0.7767185224
561	0.7765031608
562	0.7763937687
563	0.7761886503
564	0.776033203
565	0.7758294571
566	0.7755849589
567	0.7753912263
568	0.7751763414
569	0.7750275444
570	0.7748228718
571	0.7746348628
572	0.7744074076
573	0.7742228602
574	0.774084882
575	0.7739515676
576	0.7736839968
577	0.7735125971
578	0.7733606819
579	0.7731080205
580	0.7729084041
581	0.7726436088
582	0.7724964824
583	0.7723630711
584	0.7721009217
585	0.7719668695
586	0.7717859258
587	0.7715857221
588	0.7714381348
589	0.7711987042
590	0.7709870696
591	0.7706975852
592	0.7704364647
593	0.7701818199
594	0.7699812129
595	0.7698598398
596	0.7696547927
597	0.76936578
598	0.7691526655
599	0.7689068415
600	0.7686843198
601	0.7684553376
602	0.7681967963
603	0.7679437236
604	0.7677571999
605	0.7675557418
606	0.7672103723
607	0.7670742367
608	0.7669478187
609	0.7667674622
610	0.7666108212
611	0.7664473263
612	0.7662287597
613	0.7660299156
614	0.765901795
615	0.7656629626
616	0.7654974945
617	0.7653031832
618	0.7651180434
619	0.7649700607
620	0.7648263302
621	0.7646194003
622	0.7643800066
623	0.7641775958
624	0.7639891404
625	0.7637698731
626	0.7636042297
627	0.7633468822
628	0.763108342
629	0.7629312199
630	0.7627464583
631	0.7625384431
632	0.7623586054
633	0.7621658827
634	0.7619099298
635	0.7616402174
636	0.7614309883
637	0.7612896314
638	0.7610537368
639	0.760848697
640	0.7606489002
641	0.7604448923
642	0.7601850497
643	0.7599982295
644	0.7598127749
645	0.7596050714
646	0.7593307513
647	0.7590717607
648	0.758814996
649	0.7587082396
650	0.7585739118
651	0.7584163791
652	0.7582403743
653	0.7580523471
654	0.7577846201
655	0.7576201937
656	0.757443071
657	0.7572249848
658	0.7570374127
659	0.7568121351
660	0.7567272327
661	0.7565038492
662	0.756359854
663	0.7561734548
664	0.7559229499
665	0.7557027754
666	0.7555277263
667	0.7552820463
668	0.7550168256
669	0.7548850456
670	0.7547239424
671	0.754536176
672	0.7542895249
673	0.7541140583
674	0.7539277239
675	0.753765364
676	0.7535036958
677	0.7533094128
678	0.7531489417
679	0.7530069119
680	0.7528188303
681	0.7526033517
682	0.752482588
683	0.752256686
684	0.7520400735
685	0.7518289132
686	0.7516831721
687	0.7514646552
688	0.7511986877
689	0.7510918975
690	0.7509247218
691	0.7507188327
692	0.7506458877
693	0.7504310606
694	0.7501999735
695	0.7499525257
696	0.7497908099
697	0.7496145082
698	0.7493814857
699	0.7491946778
700	0.748973697
701	0.7488013601
702	0.7485907985
703	0.7483466007
704	0.7481343399
705	0.7479196579
706	0.7477085409
707	0.7474748854
708	0.7472550559
709	0.7470689569
710	0.7468178956
711	0.746526645
712	0.7464138526
713	0.7462320941
714	0.7459812728
715	0.7458127135
716	0.7456753206
717	0.7455575178
718	0.7453374327
719	0.7452458304
720	0.7450223089
721	0.7448361698
722	0.7446430364
723	0.7444451392
724	0.7442211051
725	0.7440376503
726	0.7438418758
727	0.7436457167
728	0.7434001578
729	0.7432168569
730	0.7429968686
731	0.742766896
732	0.7426531292
733	0.7424613616
734	0.7422091676
735	0.7420448727
736	0.7418027286
737	0.741704319
738	0.7414547109
739	0.7413242082
740	0.7411298481
741	0.7409916861
742	0.7407838554
743	0.7406871334
744	0.740505698
745	0.7402796757
746	0.740059404
747	0.7398807254
748	0.7396716456
749	0.7394512998
750	0.7392749121
751	0.7390850188
752	0.7389014051
753	0.738650077
754	0.7383844051
755	0.7381250412
756	0.737999412
757	0.7378154144
758	0.737570955
759	0.7373845892
760	0.7371900919
761	0.7370823704
762	0.7369143181
763	0.7367207257
764	0.7366001934
765	0.7363827275
766	0.7361536782
767	0.7359510285
768	0.7358135461
769	0.7356723574
770	0.7354702844
771	0.735326195
772	0.7351504731
773	0.7349128008
774	0.7347233425
775	0.7345574619
776	0.7344380372
777	0.7342043727
778	0.7340669784
779	0.7339137999
780	0.7337350214
781	0.7335517665
782	0.7334201439
783	0.7331257758
784	0.7329112321
785	0.7327691792
786	0.7324994744
787	0.7322651342
788	0.732078835
789	0.7318883763
790	0.7316344335
791	0.7314796248
792	0.7312929874
793	0.731156191
794	0.7310471829
795	0.7308880914
796	0.7306253607
797	0.7303517786
798	0.7302096661
799	0.7299573556
5
799	0.7244033753
