Dimension,Value,Procedure,Measure,Pre-Op Q Mean,Pre-Op Q 5%,Pre-Op Q 1st Quartile,Pre-Op Q Median,Pre-Op Q 3rd Quartile,Pre-Op Q 95%,Post-Op Q Mean,Post-Op Q 5%,Post-Op Q 1st Quartile,Post-Op Q Median,Post-Op Q 3rd Quartile,Post-Op Q 95%,Heath Gain Mean,Heath Gain 5%,Heath Gain 1st Quartile,Heath Gain Median,Heath Gain 3rd Quartile,Heath Gain 95%,Improved,Unchanged,Worsened,Total
Index of Multiple Deprivation,01. Least deprived 10%,Knee Replacement,EQ VAS,68.497,30,57,70,84,95,77.312,45,70,80,90,97,8.815,-20,-2,5,20,46,2733,529,1152,4414
Index of Multiple Deprivation,01. Least deprived 10%,Knee Replacement,EQ-5D Index,0.473,-0.016,0.159,0.62,0.691,0.76,0.791,0.462,0.691,0.796,1,1,0.318,-0.071,0.071,0.309,0.532,0.886,3801,398,345,4544
Index of Multiple Deprivation,01. Least deprived 10%,Knee Replacement,Oxford Knee Score,20.874,8,15,21,26,34,37.863,22,33,40,44,47,16.989,1,11,17,24,31,4594,30,183,4807
Index of Multiple Deprivation,02. Less deprived 10-20%,Hip Replacement,EQ VAS,64.613,25,50,70,80,95,78.255,45,70,80,90,99,13.642,-20,0,10,26,55,3045,409,921,4375
Index of Multiple Deprivation,02. Less deprived 10-20%,Hip Replacement,EQ-5D Index,0.371,-0.074,0.055,0.516,0.691,0.76,0.819,0.516,0.691,0.85,1,1,0.448,0,0.204,0.413,0.725,1.011,4115,213,206,4534
Index of Multiple Deprivation,02. Less deprived 10-20%,Hip Replacement,Oxford Hip Score,18.446,6,12,18,24,33,40.613,24,37,43,47,48,22.167,5,16,23,29,37,4756,21,96,4873
Index of Multiple Deprivation,02. Less deprived 10-20%,Knee Replacement,EQ VAS,68.535,30,55.25,70.5,84,95,77.23,41,70,80,90,97,8.695,-20,-3,5,20,48,3009,578,1359,4946
Index of Multiple Deprivation,02. Less deprived 10-20%,Knee Replacement,EQ-5D Index,0.453,-0.016,0.159,0.62,0.691,0.76,0.787,0.423,0.691,0.796,1,1,0.334,-0.071,0.104,0.309,0.59,0.899,4309,418,362,5089
Index of Multiple Deprivation,02. Less deprived 10-20%,Knee Replacement,Oxford Knee Score,20.149,8,15,20,25,33,37.581,21,33,40,44,47,17.432,1,11,18,24,32,5157,40,185,5382
Index of Multiple Deprivation,03. Less deprived 20-30%,Hip Replacement,EQ VAS,63.557,20,50,70,80,95,78.367,40,70,80,90,100,14.81,-20,0,10,30,60,3053,427,905,4385
