Dimension;Value;Procedure;Measure;Pre-Op Q Mean;Pre-Op Q 5%;Pre-Op Q 1st Quartile;Pre-Op Q Median;Pre-Op Q 3rd Quartile;Pre-Op Q 95%;Post-Op Q Mean;Post-Op Q 5%;Post-Op Q 1st Quartile;Post-Op Q Median;Post-Op Q 3rd Quartile;Post-Op Q 95%;Heath Gain Mean;Heath Gain 5%;Heath Gain 1st Quartile;Heath Gain Median;Heath Gain 3rd Quartile;Heath Gain 95%;Improved;Unchanged;Worsened;Total;Year
Index of Multiple Deprivation;05. Less deprived 40-50%;Knee Replacement;EQ-5D Index;0.423;-0.074;0.101;0.587;0.691;0.76;0.759;0.186;0.691;0.796;1.0;1.0;0.337;-0.071;0.071;0.309;0.603;0.912;3735.0;418.0;381.0;4534.0;2017-18
Index of Multiple Deprivation;05. Less deprived 40-50%;Knee Replacement;Oxford Knee Score;19.152;7.0;14.0;19.0;24.0;32.0;36.503;18.0;31.0;39.0;44.0;47.0;17.35;1.0;11.0;18.0;24.0;33.0;4563.0;28.0;212.0;4803.0;2017-18
Index of Multiple Deprivation;06. More deprived 40-50%;Hip Replacement;EQ VAS;63.752;20.0;50.0;70.0;80.0;95.0;77.13;40.0;70.0;80.0;90.0;99.0;13.378;-21.0;0.0;10.0;29.0;60.0;2293.0;325.0;802.0;3420.0;2017-18
Index of Multiple Deprivation;06. More deprived 40-50%;Hip Replacement;EQ-5D Index;0.337;-0.074;0.055;0.364;0.62;0.757;0.8;0.309;0.691;0.815;1.0;1.0;0.463;0.0;0.211;0.413;0.741;1.016;3233.0;188.0;164.0;3585.0;2017-18
Index of Multiple Deprivation;06. More deprived 40-50%;Hip Replacement;Oxford Hip Score;17.337;5.0;11.0;17.0;23.0;32.0;39.548;21.0;35.25;42.0;46.0;48.0;22.211;5.0;16.0;23.0;30.0;37.0;3757.0;21.0;84.0;3862.0;2017-18
Index of Multiple Deprivation;06. More deprived 40-50%;Knee Replacement;EQ VAS;66.934;30.0;50.0;70.0;80.0;95.0;75.349;40.0;69.0;80.0;90.0;97.0;8.415;-25.0;-5.0;5.0;20.0;49.75;2389.0;440.0;1097.0;3926.0;2017-18
Index of Multiple Deprivation;06. More deprived 40-50%;Knee Replacement;EQ-5D Index;0.406;-0.074;0.088;0.587;0.691;0.76;0.752;0.186;0.691;0.779;1.0;1.0;0.345;-0.1;0.104;0.309;0.603;0.899;3446.0;339.0;325.0;4110.0;2017-18
Index of Multiple Deprivation;06. More deprived 40-50%;Knee Replacement;Oxford Knee Score;18.653;6.0;13.0;18.0;24.0;32.0;36.114;17.0;31.0;38.0;44.0;47.0;17.46;0.0;11.0;18.0;24.0;33.0;4156.0;40.0;191.0;4387.0;2017-18
Index of Multiple Deprivation;07. More deprived 30-40%;Hip Replacement;EQ VAS;62.57;20.0;50.0;70.0;80.0;95.0;76.728;40.0;70.0;80.0;90.0;100.0;14.158;-20.0;0.0;10.0;30.0;60.0;1853.0;277.0;616.0;2746.0;2017-18
Index of Multiple Deprivation;07. More deprived 30-40%;Hip Replacement;EQ-5D Index;0.314;-0.074;-0.003;0.228;0.62;0.727;0.773;0.148;0.691;0.814;1.0;1.0;0.458;-0.036;0.204;0.413;0.741;1.003;2593.0;150.0;166.0;2909.0;2017-18
Index of Multiple Deprivation;07. More deprived 30-40%;Hip Replacement;Oxford Hip Score;16.989;5.0;11.0;16.0;22.0;32.0;39.116;20.0;35.0;42.0;46.0;48.0;22.128;4.0;16.0;23.0;29.0;37.0;3045.0;7.0;91.0;3143.0;2017-18
Index of Multiple Deprivation;07. More deprived 30-40%;Knee Replacement;EQ VAS;65.691;25.0;50.0;70.0;80.0;95.0;73.498;35.0;64.0;80.0;90.0;95.0;7.807;-30.0;-5.0;5.0;20.0;50.0;1966.0;434.0;1042.0;3442.0;2017-18
Index of Multiple Deprivation;07. More deprived 30-40%;Knee Replacement;EQ-5D Index;0.39;-0.074;0.088;0.516;0.691;0.76;0.733;0.088;0.639;0.76;1.0;1.0;0.342;-0.104;0.071;0.309;0.636;0.87;2917.0;338.0;342.0;3597.0;2017-18
Index of Multiple Deprivation;07. More deprived 30-40%;Knee Replacement;Oxford Knee Score;18.238;7.0;13.0;18.0;23.0;31.0;35.02;15.0;29.0;37.0;43.0;47.0;16.783;-1.0;10.0;18.0;24.0;32.0;3594.0;42.0;208.0;3844.0;2017-18
Index of Multiple Deprivation;08. More deprived 20-30%;Hip Replacement;EQ VAS;61.714;20.0;49.75;65.0;80.0;95.0;75.42;35.35;68.0;80.0;90.0;100.0;13.706;-25.0;0.0;10.0;30.0;60.0;1562.0;204.0;542.0;2308.0;2017-18
Index of Multiple Deprivation;08. More deprived 20-30%;Hip Replacement;EQ-5D Index;0.289;-0.155;-0.003;0.159;0.587;0.725;0.769;0.088;0.656;0.812;1.0;1.0;0.48;-0.035;0.217;0.461;0.772;1.016;2143.0;142.0;130.0;2415.0;2017-18
Index of Multiple Deprivation;08. More deprived 20-30%;Hip Replacement;Oxford Hip Score;16.258;5.0;10.0;16.0;21.0;31.0;38.669;18.0;34.0;42.0;46.0;48.0;22.411;3.0;16.0;23.0;30.0;38.0;2545.0;21.0;67.0;2633.0;2017-18
Index of Multiple Deprivation;08. More deprived 20-30%;Knee Replacement;EQ VAS;64.301;25.0;50.0;70.0;80.0;94.3;71.881;31.0;60.0;75.0;85.0;95.0;7.58;-30.0;-5.0;5.0;20.0;50.0;1666.0;330.0;859.0;2855.0;2017-18
Index of Multiple Deprivation;08. More deprived 20-30%;Knee Replacement;EQ-5D Index;0.353;-0.097;0.055;0.364;0.691;0.727;0.697;0.053;0.62;0.727;0.883;1.0;0.344;-0.104;0.071;0.309;0.635;0.875;2442.0;282.0;295.0;3019.0;2017-18
