Dimension;Value;Procedure;Measure;Pre-Op Q Mean;Pre-Op Q 5%;Pre-Op Q 1st Quartile;Pre-Op Q Median;Pre-Op Q 3rd Quartile;Pre-Op Q 95%;Post-Op Q Mean;Post-Op Q 5%;Post-Op Q 1st Quartile;Post-Op Q Median;Post-Op Q 3rd Quartile;Post-Op Q 95%;Heath Gain Mean;Heath Gain 5%;Heath Gain 1st Quartile;Heath Gain Median;Heath Gain 3rd Quartile;Heath Gain 95%;Improved;Unchanged;Worsened;Total;Year
England;England;Hip Replacement;EQ VAS;64.067;20.0;50.0;70.0;80.0;95.0;77.29;40.0;70.0;80.0;90.0;100.0;13.223;-20.0;0.0;10.0;25.0;57.0;25956.0;3966.0;8585.0;38507.0;2016-17
England;England;Hip Replacement;EQ-5D Index;0.355;-0.074;0.055;0.516;0.689;0.76;0.794;0.217;0.691;0.815;1.0;1.0;0.44;-0.035;0.192;0.413;0.708;1.003;35767.0;2196.0;2147.0;40110.0;2016-17
England;England;Hip Replacement;Oxford Hip Score;18.033;5.0;12.0;17.0;24.0;33.0;39.525;21.0;35.0;42.0;46.0;48.0;21.491;3.0;15.0;22.0;29.0;37.0;41858.0;243.0;1150.0;43251.0;2016-17
England;England;Knee Replacement;EQ VAS;67.506;30.0;50.0;70.0;80.0;95.0;74.391;40.0;65.0;80.0;90.0;96.0;6.885;-29.0;-5.0;5.0;20.0;45.0;23836.0;5348.0;12273.0;41457.0;2016-17
England;England;Knee Replacement;EQ-5D Index;0.415;-0.074;0.088;0.587;0.691;0.76;0.738;0.088;0.689;0.76;1.0;1.0;0.323;-0.104;0.069;0.309;0.601;0.87;35260.0;4209.0;3954.0;43423.0;2016-17
England;England;Knee Replacement;Oxford Knee Score;19.051;7.0;13.0;19.0;24.0;32.0;35.537;16.0;30.0;38.0;43.0;47.0;16.485;-1.0;10.0;17.0;24.0;32.0;44015.0;486.0;2427.0;46928.0;2016-17
Age;10 to 14;Hip Replacement;EQ VAS;;;;;;;;;;;;;;;;;;;;;;;2016-17
Age;10 to 14;Hip Replacement;EQ-5D Index;;;;;;;;;;;;;;;;;;;;;;;2016-17
Age;10 to 14;Hip Replacement;Oxford Hip Score;;;;;;;;;;;;;;;;;;;;;;;2016-17
Age;10 to 14;Knee Replacement;EQ VAS;;;;;;;;;;;;;;;;;;;;;;;2016-17
Age;10 to 14;Knee Replacement;EQ-5D Index;;;;;;;;;;;;;;;;;;;;;;;2016-17
Age;10 to 14;Knee Replacement;Oxford Knee Score;;;;;;;;;;;;;;;;;;;;;;;2016-17
Age;15 to 19;Hip Replacement;EQ VAS;53.5;21.25;43.75;57.0;67.25;79.0;80.0;51.25;75.0;90.0;90.0;93.75;26.5;13.5;16.25;25.0;30.75;45.25;6.0;0.0;0.0;6.0;2016-17
Age;15 to 19;Hip Replacement;EQ-5D Index;0.216;-0.217;0.106;0.159;0.48;0.612;0.881;0.714;0.757;0.924;1.0;1.0;0.665;0.2;0.475;0.801;0.841;0.982;6.0;0.0;0.0;6.0;2016-17
Age;15 to 19;Hip Replacement;Oxford Hip Score;17.0;7.75;11.75;17.5;22.5;25.5;44.667;37.75;41.75;47.5;48.0;48.0;27.667;22.25;23.25;25.5;29.25;37.5;6.0;0.0;0.0;6.0;2016-17
Age;15 to 19;Knee Replacement;EQ VAS;85.0;85.0;85.0;85.0;85.0;85.0;95.0;95.0;95.0;95.0;95.0;95.0;10.0;10.0;10.0;10.0;10.0;10.0;1.0;0.0;0.0;1.0;2016-17
Age;15 to 19;Knee Replacement;EQ-5D Index;0.055;0.055;0.055;0.055;0.055;0.055;1.0;1.0;1.0;1.0;1.0;1.0;0.945;0.945;0.945;0.945;0.945;0.945;1.0;0.0;0.0;1.0;2016-17
Age;15 to 19;Knee Replacement;Oxford Knee Score;15.0;15.0;15.0;15.0;15.0;15.0;43.0;43.0;43.0;43.0;43.0;43.0;28.0;28.0;28.0;28.0;28.0;28.0;1.0;0.0;0.0;1.0;2016-17
Age;20 to 24;Hip Replacement;EQ VAS;59.917;20.75;48.75;60.0;79.0;90.0;81.75;60.0;73.75;85.0;92.75;97.7;21.833;-10.0;4.0;22.5;35.75;65.0;19.0;1.0;4.0;24.0;2016-17
Age;20 to 24;Hip Replacement;EQ-5D Index;0.325;-0.227;-0.016;0.516;0.689;0.746;0.827;0.464;0.76;0.883;1.0;1.0;0.501;0.08;0.24;0.413;0.812;1.146;24.0;0.0;1.0;25.0;2016-17
Age;20 to 24;Hip Replacement;Oxford Hip Score;19.769;7.0;11.5;18.0;25.75;36.75;41.192;28.0;38.25;44.5;46.75;48.0;21.423;8.5;16.0;20.0;28.0;34.0;26.0;0.0;0.0;26.0;2016-17
Age;20 to 24;Knee Replacement;EQ VAS;70.0;70.0;70.0;70.0;70.0;70.0;80.0;80.0;80.0;80.0;80.0;80.0;10.0;10.0;10.0;10.0;10.0;10.0;1.0;0.0;0.0;1.0;2016-17
Age;20 to 24;Knee Replacement;EQ-5D Index;-0.016;-0.016;-0.016;-0.016;-0.016;-0.016;0.848;0.848;0.848;0.848;0.848;0.848;0.864;0.864;0.864;0.864;0.864;0.864;1.0;0.0;0.0;1.0;2016-17
Age;20 to 24;Knee Replacement;Oxford Knee Score;5.0;5.0;5.0;5.0;5.0;5.0;42.0;42.0;42.0;42.0;42.0;42.0;37.0;37.0;37.0;37.0;37.0;37.0;1.0;0.0;0.0;1.0;2016-17
Age;25 to 29;Hip Replacement;EQ VAS;57.516;25.0;47.5;60.0;72.5;87.5;75.839;35.5;67.5;80.0;90.0;100.0;18.323;-25.0;2.5;18.0;35.0;55.0;23.0;3.0;5.0;31.0;2016-17
Age;25 to 29;Hip Replacement;EQ-5D Index;0.29;-0.076;-0.016;0.312;0.587;0.69;0.741;-0.016;0.587;0.848;1.0;1.0;0.451;-0.408;0.323;0.508;0.67;0.917;25.0;0.0;3.0;28.0;2016-17
Age;25 to 29;Hip Replacement;Oxford Hip Score;19.935;7.0;13.0;18.0;26.0;36.0;38.065;20.0;31.0;42.0;45.0;48.0;18.129;6.5;13.0;19.0;23.5;31.5;30.0;0.0;1.0;31.0;2016-17
Age;25 to 29;Knee Replacement;EQ VAS;70.0;53.0;65.0;80.0;80.0;80.0;56.667;17.0;45.0;80.0;80.0;80.0;-13.333;-36.0;-20.0;0.0;0.0;0.0;0.0;2.0;1.0;3.0;2016-17
Age;25 to 29;Knee Replacement;EQ-5D Index;0.523;0.09;0.514;0.691;0.7;0.722;0.653;0.136;0.602;0.796;0.847;0.969;0.13;0.041;0.061;0.087;0.156;0.278;4.0;0.0;0.0;4.0;2016-17
Age;25 to 29;Knee Replacement;Oxford Knee Score;20.5;9.5;15.5;22.5;27.5;28.7;42.5;41.15;41.75;42.5;43.25;43.85;22.0;12.45;14.25;20.5;28.25;33.65;4.0;0.0;0.0;4.0;2016-17
Age;30 to 34;Hip Replacement;EQ VAS;53.065;17.75;33.75;57.5;70.0;85.0;73.402;30.0;63.75;75.0;90.0;100.0;20.337;-10.0;8.0;20.0;30.0;52.8;74.0;8.0;10.0;92.0;2016-17
Age;30 to 34;Hip Replacement;EQ-5D Index;0.305;-0.074;0.036;0.228;0.62;0.739;0.709;-0.036;0.587;0.76;1.0;1.0;0.405;-0.104;0.106;0.38;0.726;0.945;78.0;5.0;11.0;94.0;2016-17
Age;30 to 34;Hip Replacement;Oxford Hip Score;18.258;5.0;11.0;17.0;25.0;35.2;38.268;15.8;34.0;41.0;46.0;48.0;20.01;3.8;13.0;21.0;29.0;35.0;95.0;0.0;2.0;97.0;2016-17
Age;30 to 34;Knee Replacement;EQ VAS;37.5;22.25;30.0;37.5;48.75;50.0;54.9;26.75;36.25;49.5;67.5;95.5;17.4;-12.75;3.5;15.0;23.75;56.5;7.0;1.0;2.0;10.0;2016-17
Age;30 to 34;Knee Replacement;EQ-5D Index;0.076;-0.232;0.019;0.055;0.106;0.437;0.491;-0.161;0.115;0.656;0.783;1.0;0.415;0.025;0.096;0.35;0.702;0.909;7.0;1.0;0.0;8.0;2016-17
Age;30 to 34;Knee Replacement;Oxford Knee Score;9.778;4.2;8.0;9.0;11.0;16.6;32.556;22.0;28.0;33.0;38.0;41.6;22.778;11.4;17.0;25.0;28.0;33.2;9.0;0.0;0.0;9.0;2016-17
Age;35 to 39;Hip Replacement;EQ VAS;57.884;20.0;40.0;60.0;78.0;90.8;75.653;30.0;70.0;80.0;90.0;100.0;17.769;-29.4;0.0;20.0;39.0;59.4;124.0;12.0;37.0;173.0;2016-17
Age;35 to 39;Hip Replacement;EQ-5D Index;0.287;-0.182;-0.016;0.201;0.587;0.739;0.717;-0.016;0.587;0.796;1.0;1.0;0.43;-0.185;0.204;0.434;0.697;1.001;152.0;7.0;15.0;174.0;2016-17
Age;35 to 39;Hip Replacement;Oxford Hip Score;16.864;6.0;11.0;16.0;22.25;31.0;37.745;13.15;32.0;42.0;46.0;48.0;20.88;-1.0;15.75;22.0;30.0;37.0;173.0;0.0;11.0;184.0;2016-17
Age;35 to 39;Knee Replacement;EQ VAS;53.833;20.0;38.75;55.0;70.0;83.5;71.167;40.0;58.75;74.0;86.25;91.7;17.333;-13.8;0.0;17.5;31.5;49.25;17.0;2.0;5.0;24.0;2016-17
Age;35 to 39;Knee Replacement;EQ-5D Index;0.317;-0.074;0.019;0.174;0.638;0.691;0.552;-0.065;0.087;0.724;0.801;1.0;0.235;-0.606;-0.104;0.257;0.664;0.805;16.0;0.0;8.0;24.0;2016-17
Age;35 to 39;Knee Replacement;Oxford Knee Score;15.84;5.2;11.0;16.0;20.0;29.4;31.2;10.4;18.0;31.0;44.0;45.8;15.36;-3.6;10.0;19.0;23.0;28.8;21.0;1.0;3.0;25.0;2016-17
Age;40 to 44;Hip Replacement;EQ VAS;58.995;20.0;40.0;60.0;80.0;95.0;76.29;36.75;67.25;80.0;90.0;99.0;17.295;-20.0;0.0;15.0;32.0;60.0;270.0;23.0;73.0;366.0;2016-17
Age;40 to 44;Hip Replacement;EQ-5D Index;0.355;-0.181;0.053;0.516;0.691;0.76;0.791;0.082;0.689;0.883;1.0;1.0;0.436;-0.036;0.211;0.38;0.707;1.003;330.0;11.0;20.0;361.0;2016-17
Age;40 to 44;Hip Replacement;Oxford Hip Score;18.323;5.6;12.0;17.0;24.0;34.0;39.15;14.0;36.0;44.0;47.0;48.0;20.827;0.0;14.0;22.0;29.0;36.0;372.0;3.0;18.0;393.0;2016-17
Age;40 to 44;Knee Replacement;EQ VAS;63.069;28.75;50.0;65.0;80.0;95.0;67.034;20.0;50.0;75.0;85.0;91.25;3.966;-37.75;-10.0;5.0;20.0;47.0;61.0;13.0;42.0;116.0;2016-17
Age;40 to 44;Knee Replacement;EQ-5D Index;0.228;-0.182;-0.003;0.088;0.62;0.691;0.569;-0.133;0.403;0.691;0.796;1.0;0.341;-0.166;0.014;0.367;0.638;0.912;86.0;10.0;19.0;115.0;2016-17
Age;40 to 44;Knee Replacement;Oxford Knee Score;15.165;4.0;9.5;15.0;20.0;29.0;30.717;6.3;22.5;34.0;40.0;46.0;15.551;-3.7;6.5;17.0;23.0;31.0;113.0;0.0;14.0;127.0;2016-17
Age;45 to 49;Hip Replacement;EQ VAS;60.426;20.0;45.0;65.0;80.0;90.0;76.604;30.0;70.0;80.0;90.0;100.0;16.178;-24.6;0.0;15.0;30.0;60.0;681.0;88.0;174.0;943.0;2016-17
Age;45 to 49;Hip Replacement;EQ-5D Index;0.352;-0.181;0.054;0.516;0.656;0.76;0.775;0.082;0.656;0.848;1.0;1.0;0.424;-0.071;0.192;0.38;0.707;1.016;830.0;57.0;56.0;943.0;2016-17
Age;45 to 49;Hip Replacement;Oxford Hip Score;17.707;6.0;12.0;17.0;23.0;32.0;39.403;17.0;35.0;43.0;47.0;48.0;21.696;2.0;15.0;22.0;29.0;37.0;969.0;7.0;28.0;1004.0;2016-17
Age;45 to 49;Knee Replacement;EQ VAS;59.722;20.0;40.0;60.0;76.25;94.55;69.233;25.0;50.0;75.0;86.0;98.0;9.511;-30.0;-5.0;10.0;25.0;50.0;286.0;41.0;137.0;464.0;2016-17
Age;45 to 49;Knee Replacement;EQ-5D Index;0.316;-0.077;0.055;0.159;0.673;0.727;0.631;-0.074;0.516;0.691;0.849;1.0;0.315;-0.23;0.01;0.309;0.603;0.871;350.0;50.0;67.0;467.0;2016-17
Age;45 to 49;Knee Replacement;Oxford Knee Score;16.584;5.1;11.0;15.0;22.0;31.9;32.922;10.0;25.5;36.0;42.0;47.0;16.338;-2.9;9.0;16.0;24.0;33.0;459.0;5.0;39.0;503.0;2016-17
Age;50 to 54;Hip Replacement;EQ VAS;60.178;20.0;40.0;65.0;80.0;92.0;78.229;40.0;70.0;80.0;90.0;100.0;18.051;-20.0;0.0;15.0;33.5;65.0;1441.0;165.0;333.0;1939.0;2016-17
Age;50 to 54;Hip Replacement;EQ-5D Index;0.347;-0.079;0.055;0.516;0.664;0.76;0.789;0.082;0.691;0.848;1.0;1.0;0.442;-0.058;0.204;0.413;0.741;1.016;1774.0;115.0;111.0;2000.0;2016-17
Age;50 to 54;Hip Replacement;Oxford Hip Score;17.736;6.0;12.0;17.0;23.0;32.0;39.84;18.0;37.0;43.0;47.0;48.0;22.104;2.0;16.0;23.0;30.0;37.0;2043.0;18.0;60.0;2121.0;2016-17
Age;50 to 54;Knee Replacement;EQ VAS;60.911;20.0;45.0;61.5;80.0;95.0;69.559;30.0;60.0;75.0;85.0;95.0;8.648;-35.0;-5.0;10.0;25.0;50.0;960.0;170.0;466.0;1596.0;2016-17
Age;50 to 54;Knee Replacement;EQ-5D Index;0.334;-0.077;0.055;0.186;0.691;0.727;0.654;-0.016;0.587;0.725;0.814;1.0;0.32;-0.176;0.058;0.309;0.603;0.866;1276.0;168.0;211.0;1655.0;2016-17
Age;50 to 54;Knee Replacement;Oxford Knee Score;16.994;6.0;11.0;16.0;22.0;30.0;32.808;11.0;25.0;36.0;42.0;47.0;15.814;-3.0;9.0;17.0;24.0;32.0;1597.0;24.0;135.0;1756.0;2016-17
Age;55 to 59;Hip Replacement;EQ VAS;61.561;20.0;41.75;65.0;80.0;95.0;78.386;40.0;70.0;85.0;90.0;100.0;16.825;-20.0;0.0;15.0;30.0;60.0;2306.0;294.0;580.0;3180.0;2016-17
Age;55 to 59;Hip Replacement;EQ-5D Index;0.361;-0.074;0.055;0.516;0.689;0.76;0.799;0.186;0.691;0.85;1.0;1.0;0.438;-0.035;0.204;0.413;0.707;1.016;2905.0;170.0;170.0;3245.0;2016-17
Age;55 to 59;Hip Replacement;Oxford Hip Score;17.823;6.0;12.0;17.0;23.0;32.0;40.312;21.0;37.0;44.0;47.0;48.0;22.49;4.0;16.0;24.0;30.0;37.0;3332.0;15.0;84.0;3431.0;2016-17
Age;55 to 59;Knee Replacement;EQ VAS;62.854;20.0;50.0;70.0;80.0;94.0;72.065;30.0;60.0;80.0;90.0;96.0;9.211;-30.0;-5.0;8.0;22.0;50.0;1951.0;353.0;891.0;3195.0;2016-17
Age;55 to 59;Knee Replacement;EQ-5D Index;0.361;-0.077;0.088;0.364;0.691;0.76;0.679;-0.016;0.587;0.727;0.883;1.0;0.318;-0.165;0.069;0.309;0.601;0.872;2625.0;309.0;384.0;3318.0;2016-17
Age;55 to 59;Knee Replacement;Oxford Knee Score;17.732;7.0;12.0;17.0;23.0;31.0;33.734;13.0;27.0;36.0;42.0;47.0;16.002;-2.0;9.0;17.0;24.0;32.0;3271.0;50.0;245.0;3566.0;2016-17
Age;60 to 64;Hip Replacement;EQ VAS;63.284;20.0;50.0;70.0;80.0;95.0;78.745;40.0;70.0;84.0;90.0;100.0;15.462;-20.0;0.0;10.0;30.0;60.0;3473.0;450.0;937.0;4860.0;2016-17
Age;60 to 64;Hip Replacement;EQ-5D Index;0.373;-0.074;0.055;0.516;0.691;0.76;0.808;0.189;0.691;0.883;1.0;1.0;0.435;-0.054;0.204;0.413;0.707;1.016;4504.0;251.0;289.0;5044.0;2016-17
Age;60 to 64;Hip Replacement;Oxford Hip Score;18.332;6.0;12.0;18.0;24.0;33.0;40.434;21.0;37.0;44.0;47.0;48.0;22.102;3.0;16.0;23.0;29.0;37.0;5164.0;29.0;161.0;5354.0;2016-17
Age;60 to 64;Knee Replacement;EQ VAS;65.417;25.0;50.0;70.0;80.0;95.0;73.276;30.0;65.0;80.0;90.0;96.0;7.859;-30.0;-5.0;5.0;20.0;47.25;3375.0;709.0;1592.0;5676.0;2016-17
Age;60 to 64;Knee Replacement;EQ-5D Index;0.401;-0.074;0.088;0.587;0.691;0.76;0.711;0.055;0.62;0.76;1.0;1.0;0.31;-0.104;0.069;0.296;0.59;0.872;4644.0;604.0;627.0;5875.0;2016-17
Age;60 to 64;Knee Replacement;Oxford Knee Score;18.62;7.0;13.0;18.0;24.0;32.0;34.753;14.0;29.0;37.0;43.0;47.0;16.133;-2.0;10.0;17.0;23.0;32.0;5771.0;71.0;375.0;6217.0;2016-17
Age;65 to 69;Hip Replacement;EQ VAS;64.904;20.0;50.0;70.0;80.0;95.0;79.213;45.0;70.0;84.0;90.0;100.0;14.309;-20.0;0.0;10.0;28.0;58.0;5159.0;780.0;1483.0;7422.0;2016-17
Age;65 to 69;Hip Replacement;EQ-5D Index;0.375;-0.074;0.055;0.516;0.691;0.76;0.817;0.312;0.691;0.883;1.0;1.0;0.442;0.0;0.204;0.413;0.726;1.016;6942.0;401.0;384.0;7727.0;2016-17
Age;65 to 69;Hip Replacement;Oxford Hip Score;18.594;6.0;12.0;18.0;24.0;33.0;40.605;23.0;37.0;44.0;47.0;48.0;22.011;3.0;16.0;23.0;29.0;37.0;8000.0;49.0;223.0;8272.0;2016-17
Age;65 to 69;Knee Replacement;EQ VAS;68.344;30.0;55.0;70.0;85.0;95.0;75.768;40.0;70.0;80.0;90.0;96.0;7.424;-25.0;-5.0;5.0;20.0;45.0;5044.0;1113.0;2464.0;8621.0;2016-17
Age;65 to 69;Knee Replacement;EQ-5D Index;0.426;-0.074;0.101;0.587;0.691;0.76;0.751;0.159;0.691;0.779;1.0;1.0;0.324;-0.104;0.069;0.309;0.601;0.865;7358.0;841.0;802.0;9001.0;2016-17
Age;65 to 69;Knee Replacement;Oxford Knee Score;19.451;7.0;14.0;19.0;25.0;33.0;36.22;17.0;31.0;39.0;44.0;47.0;16.768;0.0;10.0;17.0;24.0;32.0;9142.0;91.0;446.0;9679.0;2016-17
Age;70 to 74;Hip Replacement;EQ VAS;66.399;25.0;50.0;70.0;80.0;95.0;77.893;40.0;70.0;80.0;90.0;100.0;11.495;-20.0;0.0;10.0;25.0;54.0;5059.0;834.0;1851.0;7744.0;2016-17
Age;70 to 74;Hip Replacement;EQ-5D Index;0.369;-0.074;0.055;0.516;0.691;0.76;0.807;0.364;0.691;0.848;1.0;1.0;0.438;0.0;0.192;0.398;0.707;1.003;7234.0;450.0;400.0;8084.0;2016-17
Age;70 to 74;Hip Replacement;Oxford Hip Score;18.519;6.0;12.0;18.0;24.0;33.0;39.801;22.0;36.0;43.0;46.0;48.0;21.283;4.0;15.0;22.0;28.0;37.0;8485.0;46.0;192.0;8723.0;2016-17
Age;70 to 74;Knee Replacement;EQ VAS;69.426;30.0;60.0;74.0;85.0;95.0;76.095;40.0;70.0;80.0;90.0;97.0;6.67;-25.0;-5.0;5.0;17.0;43.1;5224.0;1254.0;2641.0;9119.0;2016-17
Age;70 to 74;Knee Replacement;EQ-5D Index;0.441;-0.016;0.159;0.62;0.691;0.76;0.768;0.189;0.691;0.796;1.0;1.0;0.328;-0.071;0.071;0.309;0.59;0.888;7939.0;910.0;762.0;9611.0;2016-17
Age;70 to 74;Knee Replacement;Oxford Knee Score;19.77;8.0;14.0;20.0;25.0;33.0;36.589;19.0;31.0;39.0;44.0;47.0;16.819;0.0;11.0;17.0;24.0;32.0;9741.0;126.0;470.0;10337.0;2016-17
Age;75 to 79;Hip Replacement;EQ VAS;65.056;25.0;50.0;70.0;80.0;95.0;75.639;40.0;69.0;80.0;90.0;98.0;10.584;-25.0;-1.0;10.0;23.0;50.0;4027.0;690.0;1616.0;6333.0;2016-17
Age;75 to 79;Hip Replacement;EQ-5D Index;0.347;-0.074;0.055;0.516;0.664;0.727;0.78;0.26;0.691;0.796;1.0;1.0;0.433;-0.036;0.175;0.413;0.707;1.003;5886.0;399.0;387.0;6672.0;2016-17
Age;75 to 79;Hip Replacement;Oxford Hip Score;17.882;5.0;11.0;17.0;24.0;33.0;38.597;21.0;34.0;41.0;45.0;48.0;20.714;3.0;14.0;21.0;28.0;37.0;7088.0;43.0;199.0;7330.0;2016-17
Age;75 to 79;Knee Replacement;EQ VAS;69.361;30.0;59.0;73.0;82.0;95.0;74.734;40.0;66.0;80.0;90.0;95.0;5.373;-29.0;-5.0;5.0;15.0;40.0;3902.0;927.0;2230.0;7059.0;2016-17
Age;75 to 79;Knee Replacement;EQ-5D Index;0.433;-0.074;0.159;0.587;0.691;0.76;0.757;0.195;0.691;0.779;1.0;1.0;0.324;-0.071;0.071;0.309;0.59;0.859;6143.0;726.0;594.0;7463.0;2016-17
Age;75 to 79;Knee Replacement;Oxford Knee Score;19.553;7.0;14.0;19.0;25.0;33.0;35.909;18.0;30.0;38.0;43.0;47.0;16.357;0.0;10.0;17.0;23.0;32.0;7700.0;64.0;404.0;8168.0;2016-17
Age;80 to 84;Hip Replacement;EQ VAS;64.235;20.0;50.0;70.0;80.0;92.0;74.429;40.0;65.0;80.0;90.0;96.0;10.194;-25.0;-2.0;9.0;23.0;50.0;2308.0;452.0;1007.0;3767.0;2016-17
Age;80 to 84;Hip Replacement;EQ-5D Index;0.327;-0.074;0.03;0.262;0.62;0.727;0.769;0.26;0.691;0.796;1.0;1.0;0.443;-0.035;0.175;0.413;0.713;1.003;3543.0;235.0;218.0;3996.0;2016-17
Age;80 to 84;Hip Replacement;Oxford Hip Score;17.456;5.0;11.0;17.0;23.0;32.0;38.024;21.0;33.0;40.0;45.0;48.0;20.568;3.0;14.0;21.0;28.0;36.0;4226.0;24.0;123.0;4373.0;2016-17
Age;80 to 84;Knee Replacement;EQ VAS;68.839;30.0;58.0;70.0;80.0;95.0;74.258;40.0;65.0;80.0;86.0;95.0;5.419;-25.0;-5.0;5.0;15.0;40.0;2170.0;537.0;1290.0;3997.0;2016-17
Age;80 to 84;Knee Replacement;EQ-5D Index;0.42;-0.074;0.101;0.587;0.691;0.76;0.749;0.189;0.691;0.76;1.0;1.0;0.329;-0.076;0.071;0.309;0.601;0.866;3474.0;423.0;334.0;4231.0;2016-17
Age;80 to 84;Knee Replacement;Oxford Knee Score;19.051;7.0;13.0;19.0;24.0;33.0;35.398;17.0;30.0;37.0;43.0;47.0;16.347;0.0;10.0;17.0;23.0;32.0;4445.0;38.0;219.0;4702.0;2016-17
Age;85 to 89;Hip Replacement;EQ VAS;61.586;20.0;50.0;65.0;80.0;90.0;72.403;40.0;60.0;75.0;85.0;95.0;10.817;-22.0;-5.0;9.0;25.0;55.0;827.0;133.0;393.0;1353.0;2016-17
Age;85 to 89;Hip Replacement;EQ-5D Index;0.262;-0.181;-0.016;0.159;0.587;0.691;0.736;0.189;0.62;0.76;1.0;1.0;0.474;0.0;0.192;0.484;0.757;1.003;1270.0;77.0;68.0;1415.0;2016-17
Age;85 to 89;Hip Replacement;Oxford Hip Score;15.741;3.0;9.0;15.0;22.0;31.0;36.806;20.0;32.0;39.0;44.0;48.0;21.065;3.0;15.0;22.0;28.0;37.0;1533.0;9.0;38.0;1580.0;2016-17
Age;85 to 89;Knee Replacement;EQ VAS;66.469;30.0;50.0;70.0;80.0;95.0;71.483;35.0;60.0;75.0;85.0;95.0;5.014;-30.0;-5.0;4.5;16.0;43.45;730.0;197.0;445.0;1372.0;2016-17
Age;85 to 89;Knee Replacement;EQ-5D Index;0.398;-0.074;0.088;0.587;0.691;0.727;0.727;0.189;0.62;0.743;0.883;1.0;0.329;-0.104;0.069;0.309;0.603;0.899;1155.0;147.0;129.0;1431.0;2016-17
Age;85 to 89;Knee Replacement;Oxford Knee Score;17.881;6.0;12.0;17.0;24.0;32.0;34.563;16.0;29.0;36.0;42.0;47.0;16.682;0.0;10.0;17.0;24.0;32.0;1519.0;13.0;73.0;1605.0;2016-17
Age;90 to 120;Hip Replacement;EQ VAS;61.332;23.25;50.0;69.0;80.0;90.0;70.336;40.0;60.0;75.0;80.0;95.0;9.004;-29.35;-5.0;8.0;21.5;50.35;159.0;33.0;82.0;274.0;2016-17
Age;90 to 120;Hip Replacement;EQ-5D Index;0.212;-0.184;-0.016;0.101;0.587;0.691;0.704;0.203;0.587;0.71;0.85;1.0;0.491;0.0;0.255;0.495;0.761;1.003;264.0;18.0;14.0;296.0;2016-17
Age;90 to 120;Hip Replacement;Oxford Hip Score;13.285;2.25;7.0;11.5;18.0;28.75;35.724;20.25;31.0;37.0;42.0;47.0;22.439;4.25;16.0;23.0;30.0;36.0;316.0;0.0;10.0;326.0;2016-17
Age;90 to 120;Knee Replacement;EQ VAS;68.621;30.0;55.0;70.0;81.0;95.0;72.926;40.5;65.0;75.0;85.0;95.0;4.305;-30.9;-5.0;2.0;15.0;45.0;107.0;29.0;67.0;203.0;2016-17
Age;90 to 120;Knee Replacement;EQ-5D Index;0.346;-0.14;0.055;0.364;0.691;0.727;0.732;0.189;0.62;0.76;0.883;1.0;0.386;-0.069;0.127;0.327;0.637;0.912;181.0;20.0;17.0;218.0;2016-17
Age;90 to 120;Knee Replacement;Oxford Knee Score;16.36;5.0;10.0;16.0;22.0;30.0;34.632;17.0;29.0;36.0;41.25;46.0;18.272;2.35;12.0;19.0;25.0;33.0;221.0;3.0;4.0;228.0;2016-17
Age and Gender;0 - 10 to 14;Hip Replacement;EQ VAS;;;;;;;;;;;;;;;;;;;;;;;2016-17
Age and Gender;0 - 10 to 14;Hip Replacement;EQ-5D Index;;;;;;;;;;;;;;;;;;;;;;;2016-17
Age and Gender;0 - 10 to 14;Hip Replacement;Oxford Hip Score;;;;;;;;;;;;;;;;;;;;;;;2016-17
Age and Gender;0 - 10 to 14;Knee Replacement;EQ VAS;;;;;;;;;;;;;;;;;;;;;;;2016-17
Age and Gender;0 - 10 to 14;Knee Replacement;EQ-5D Index;;;;;;;;;;;;;;;;;;;;;;;2016-17
Age and Gender;0 - 10 to 14;Knee Replacement;Oxford Knee Score;;;;;;;;;;;;;;;;;;;;;;;2016-17
Age and Gender;0 - 15 to 19;Hip Replacement;EQ VAS;;;;;;;;;;;;;;;;;;;;;;;2016-17
Age and Gender;0 - 15 to 19;Hip Replacement;EQ-5D Index;;;;;;;;;;;;;;;;;;;;;;;2016-17
Age and Gender;0 - 15 to 19;Hip Replacement;Oxford Hip Score;;;;;;;;;;;;;;;;;;;;;;;2016-17
Age and Gender;0 - 15 to 19;Knee Replacement;EQ VAS;;;;;;;;;;;;;;;;;;;;;;;2016-17
Age and Gender;0 - 15 to 19;Knee Replacement;EQ-5D Index;;;;;;;;;;;;;;;;;;;;;;;2016-17
Age and Gender;0 - 15 to 19;Knee Replacement;Oxford Knee Score;;;;;;;;;;;;;;;;;;;;;;;2016-17
Age and Gender;0 - 20 to 24;Hip Replacement;EQ VAS;;;;;;;;;;;;;;;;;;;;;;;2016-17
Age and Gender;0 - 20 to 24;Hip Replacement;EQ-5D Index;;;;;;;;;;;;;;;;;;;;;;;2016-17
Age and Gender;0 - 20 to 24;Hip Replacement;Oxford Hip Score;;;;;;;;;;;;;;;;;;;;;;;2016-17
Age and Gender;0 - 20 to 24;Knee Replacement;EQ VAS;;;;;;;;;;;;;;;;;;;;;;;2016-17
Age and Gender;0 - 20 to 24;Knee Replacement;EQ-5D Index;;;;;;;;;;;;;;;;;;;;;;;2016-17
