iter	Passed	Remaining
402	7825	4796
403	7833	4769
404	7841	4743
405	7848	4717
406	7856	4690
407	7865	4665
408	7873	4639
409	7880	4612
410	7887	4586
411	7895	4561
412	7903	4535
413	7911	4510
414	7919	4484
415	7926	4458
416	7934	4433
417	7944	4409
418	7953	4384
419	7961	4359
420	7969	4334
421	7978	4310
422	7987	4286
423	7994	4261
424	8003	4237
425	8011	4212
426	8019	4188
427	8027	4163
428	8035	4139
429	8043	4115
430	8051	4091
431	8059	4066
432	8068	4043
433	8075	4019
434	8083	3995
435	8091	3971
436	8099	3948
437	8107	3924
438	8116	3901
439	8124	3877
440	8134	3855
441	8142	3831
442	8151	3808
443	8159	3785
444	8168	3762
445	8176	3739
446	8184	3717
447	8193	3694
448	8200	3671
449	8208	3648
450	8216	3625
451	8223	3602
452	8231	3579
453	8239	3557
454	8247	3534
455	8255	3511
456	8263	3489
457	8270	3467
458	8281	3446
459	8290	3424
460	8298	3402
461	8305	3379
462	8314	3357
463	8322	3336
464	8330	3314
465	8339	3293
466	8347	3271
467	8355	3249
468	8364	3227
469	8372	3206
470	8380	3184
471	8387	3163
472	8396	3141
473	8404	3120
474	8411	3099
475	8419	3077
476	8426	3056
477	8434	3035
478	8442	3013
479	8449	2992
480	8457	2971
481	8465	2950
482	8473	2929
483	8480	2908
484	8488	2887
485	8495	2866
486	8503	2846
487	8511	2825
488	8519	2804
489	8527	2784
490	8535	2764
491	8543	2743
492	8552	2723
493	8560	2703
494	8568	2683
495	8576	2662
496	8585	2642
497	8592	2622
498	8601	2602
499	8608	2582
500	8616	2562
501	8624	2542
502	8632	2522
503	8639	2502
504	8647	2482
505	8655	2463
506	8663	2443
507	8672	2424
508	8679	2404
509	8686	2384
510	8694	2365
511	8702	2345
512	8710	2326
513	8718	2306
514	8726	2287
515	8735	2268
516	8743	2249
517	8751	2230
518	8758	2210
519	8767	2191
520	8775	2172
521	8782	2153
522	8791	2134
523	8799	2115
524	8806	2096
525	8814	2077
526	8821	2058
527	8830	2040
528	8838	2021
529	8845	2002
530	8853	1984
531	8861	1965
532	8869	1946
533	8876	1928
534	8883	1909
535	8891	1891
536	8898	1872
537	8906	1854
538	8913	1835
539	8921	1817
540	8929	1799
541	8937	1780
542	8944	1762
543	8952	1744
544	8959	1726
545	8967	1708
546	8974	1689
547	8982	1671
548	8990	1654
549	8998	1636
550	9006	1618
551	9014	1600
552	9021	1582
553	9028	1564
554	9036	1546
555	9044	1529
556	9051	1511
557	9058	1493
558	9067	1476
559	9074	1458
560	9082	1440
561	9090	1423
562	9099	1406
563	9106	1388
564	9114	1371
565	9122	1353
566	9130	1336
567	9138	1319
568	9146	1302
569	9154	1284
570	9162	1267
571	9169	1250
572	9176	1233
573	9185	1216
574	9193	1199
575	9200	1182
576	9208	1165
577	9216	1148
578	9224	1131
579	9233	1114
580	9240	1097
581	9247	1080
582	9256	1063
583	9264	1047
584	9273	1030
585	9282	1013
586	9290	997
587	9297	980
588	9306	963
589	9313	947
590	9321	930
591	9329	914
592	9337	897
593	9344	881
594	9352	864
595	9360	848
596	9368	831
597	9376	815
598	9383	798
599	9390	782
600	9398	766
601	9406	750
602	9415	733
603	9422	717
604	9429	701
605	9437	685
606	9445	669
607	9453	653
608	9461	636
609	9469	620
610	9478	605
611	9486	589
612	9494	573
613	9501	557
614	9508	541
615	9516	525
616	9523	509
617	9532	493
618	9539	477
619	9547	461
620	9553	446
621	9560	430
622	9567	414
623	9575	398
624	9582	383
625	9590	367
626	9597	352
627	9604	336
628	9611	320
629	9619	305
630	9626	289
631	9633	274
632	9640	258
633	9648	243
634	9656	228
635	9664	212
636	9672	197
637	9680	182
638	9690	166
639	9699	151
640	9707	136
641	9715	121
642	9723	105
643	9730	90
644	9738	75
645	9746	60
646	9754	45
647	9763	30
648	9770	15
649	9777	0
8	33150	2822
599	599	33249	2600	600	33302	2601	601	33349	2602	602	33405	2603	603	33456	2604	604	33487	2605	605	33522	2606	606	33571	2607	607	33613	2608	33601	2262
609	609	33718	2610	610	33765	2611	611	33803	2612	612	33863	2613	613	33910	1614	614	33957	1615	615	33994	1616	616	34049	1821
617	34097	1765
618	34161	1710
619	34216	1655
620	34257	1599
621	34288	1543
622	34335	1488
623	34378	1432
624	34407	1376
625	34436	1320
626	34472	1264
627	34508	1208
628	34542	1153
629	34577	1097
630	34610	1042
631	34650	986
632	34682	931
633	34700	875
634	34722	820
635	34741	636	636	34761	637	34723	653
638	34749	598
639	34769	543
640	34792	488
641	34810	433
642	34827	379
643	34845	324
644	34861	270
645	34876	215
646	34891	161
647	34906	107
648	34924	53
649	34941	0
6	0

