Dimension,Value,Procedure,Measure,Pre-Op Q Mean,Pre-Op Q 5%,Pre-Op Q 1st Quartile,Pre-Op Q Median,Pre-Op Q 3rd Quartile,Pre-Op Q 95%,Post-Op Q Mean,Post-Op Q 5%,Post-Op Q 1st Quartile,Post-Op Q Median,Post-Op Q 3rd Quartile,Post-Op Q 95%,Heath Gain Mean,Heath Gain 5%,Heath Gain 1st Quartile,Heath Gain Median,Heath Gain 3rd Quartile,Heath Gain 95%,Improved,Unchanged,Worsened,Total
Age,30 to 34,Knee Replacement,Oxford Knee Score,14.556,6.4,8,14,18,26.2,32.222,16.4,29,32,39,42.4,17.667,4,10,21,23,27.8,8,1,0,9
Age,35 to 39,Hip Replacement,EQ VAS,57.7,20,35,60,75,93.3,75.76,30,70,80,90,99,18.06,-17.75,3.5,15,30,60,114,12,24,150
Age,35 to 39,Hip Replacement,EQ-5D Index,0.322,-0.181,-0.003,0.274,0.62,0.76,0.774,0.107,0.691,0.848,1,1,0.452,-0.104,0.204,0.413,0.729,0.998,133,6,11,150
Age,35 to 39,Hip Replacement,Oxford Hip Score,17.747,5,12,17,24,32.15,39.513,17.85,36,44,47,48,21.766,2.85,17,22,30,37.15,152,1,5,158
Age,35 to 39,Knee Replacement,EQ VAS,55.414,21.6,35,60,70,88,68.931,28.8,65,70,80,90,13.517,-17.2,-5,10,30,50,18,2,9,29
Age,35 to 39,Knee Replacement,EQ-5D Index,0.315,-0.074,0.088,0.159,0.691,0.747,0.602,-0.097,0.587,0.689,0.796,1,0.288,-0.636,0,0.309,0.659,0.884,21,3,5,29
Age,35 to 39,Knee Replacement,Oxford Knee Score,17.867,5.7,14.25,17,22,26.55,33.467,10.15,25.25,37,43,47.1,15.6,-4.3,6,17,21.75,35,27,0,3,30
Age,40 to 44,Hip Replacement,EQ VAS,56.928,20,40,60,75,90,77.025,40,70,80,90,100,20.097,-14,5,20,35,65,283,29,49,361
Age,40 to 44,Hip Replacement,EQ-5D Index,0.339,-0.181,-0.003,0.516,0.62,0.76,0.785,0.082,0.691,0.848,1,1,0.446,0,0.228,0.413,0.705,1.003,336,15,17,368
Age,40 to 44,Hip Replacement,Oxford Hip Score,17.469,5,11,17,23,31,39.76,20,36,43,47,48,22.292,5,16,22,30,37.85,378,1,5,384
Age,40 to 44,Knee Replacement,EQ VAS,58.407,14.5,40,60,76.5,95,69.396,30,55,75,85,95,10.989,-17.5,-3.5,8,20,62.5,52,13,26,91
Age,40 to 44,Knee Replacement,EQ-5D Index,0.306,-0.134,0.063,0.159,0.62,0.76,0.663,-0.016,0.587,0.708,0.883,1,0.357,-0.106,0.061,0.331,0.637,0.866,72,6,12,90
Age,40 to 44,Knee Replacement,Oxford Knee Score,16.54,5.95,11.75,16,22,29.1,33.19,10,25.75,36,41,46.05,16.65,2,9,17,24.25,31.15,96,1,3,100
Age,45 to 49,Hip Replacement,EQ VAS,59.296,20,40,60,80,92.8,75.853,35,70,80,90,99,16.558,-20,0,15,30,60,587,55,163,805
Age,45 to 49,Hip Replacement,EQ-5D Index,0.338,-0.077,0.055,0.516,0.656,0.76,0.79,0.082,0.691,0.848,1,1,0.452,-0.071,0.209,0.413,0.758,1.003,731,32,57,820
Age,45 to 49,Hip Replacement,Oxford Hip Score,17.196,6,11,17,23,31,40.108,19,37,44,47,48,22.912,4,17,24,30,38,843,8,21,872
Age,45 to 49,Knee Replacement,EQ VAS,59.176,20,40,60,80,90,69.38,20,60,75,89,95,10.204,-40,-5,10,30,55,290,46,125,461
Age,45 to 49,Knee Replacement,EQ-5D Index,0.313,-0.181,0.055,0.159,0.691,0.76,0.642,-0.074,0.516,0.691,0.848,1,0.329,-0.231,0.032,0.309,0.636,0.91,353,45,70,468
Age,45 to 49,Knee Replacement,Oxford Knee Score,16.334,5,10,16,22,30.35,33.381,11,26,37,43,47,17.047,-1,9,18,25,34,460,8,26,494
Age,50 to 54,Hip Replacement,EQ VAS,59.687,20,40,61,80,92.65,77.563,40,70,80,90,100,17.876,-20,0,15,34,60,1308,132,328,1768
Age,50 to 54,Hip Replacement,EQ-5D Index,0.339,-0.077,0.03,0.398,0.689,0.76,0.792,0.082,0.691,0.848,1,1,0.453,-0.058,0.209,0.413,0.741,1.016,1608,81,101,1790
Age,50 to 54,Hip Replacement,Oxford Hip Score,17.249,5,11,16,23,32,40.414,20,37,44,47,48,23.166,5,17,24,30,38,1850,8,39,1897
Age,50 to 54,Knee Replacement,EQ VAS,62.257,25,50,65,80,94.3,72.18,30,60,79,90,98,9.923,-30,-5,10,25,50,1019,151,445,1615
Age,50 to 54,Knee Replacement,EQ-5D Index,0.358,-0.074,0.082,0.363,0.691,0.76,0.701,0.055,0.62,0.76,0.883,1,0.342,-0.126,0.069,0.309,0.636,0.899,1308,163,161,1632
Age,50 to 54,Knee Replacement,Oxford Knee Score,17.43,7,12,17,22,31,34.511,14,28,37,43,47,17.081,-1,10,18,25,33,1599,24,96,1719
Age,55 to 59,Hip Replacement,EQ VAS,61.858,20,45,65,80,95,78.76,40,70,84,90,100,16.902,-20,0,15,30,60,2137,202,516,2855
Age,55 to 59,Hip Replacement,EQ-5D Index,0.357,-0.074,0.055,0.516,0.689,0.76,0.811,0.186,0.691,0.883,1,1,0.454,-0.033,0.209,0.413,0.741,1.016,2641,145,154,2940
Age,55 to 59,Hip Replacement,Oxford Hip Score,17.681,6,12,17,23,32,40.779,21,38,44,47,48,23.098,5,17,24,30,38,3019,18,65,3102
Age,55 to 59,Knee Replacement,EQ VAS,64.734,25,50,70,80,95,73.506,30,65,80,90,97,8.772,-30,-5,8,20,50,2008,354,889,3251
Age,55 to 59,Knee Replacement,EQ-5D Index,0.377,-0.074,0.088,0.516,0.691,0.76,0.708,0.055,0.62,0.76,0.883,1,0.33,-0.105,0.069,0.309,0.603,0.899,2663,314,358,3335
Age,55 to 59,Knee Replacement,Oxford Knee Score,18.211,6,13,18,23,31,35.041,14,29,38,43,47,16.83,-1,10,17,24,33,3303,32,191,3526
Age,60 to 64,Hip Replacement,EQ VAS,62.553,20,50,69,80,95,79.098,40,70,84,90,100,16.545,-18.9,0,14,30,60,3245,372,766,4383
Age,60 to 64,Hip Replacement,EQ-5D Index,0.354,-0.074,0.055,0.516,0.691,0.76,0.811,0.189,0.691,0.883,1,1,0.456,0,0.209,0.413,0.74,1.004,4061,238,200,4499
Age,60 to 64,Hip Replacement,Oxford Hip Score,17.855,6,12,17,23,32,40.886,22,38,44,47,48,23.03,5,17,24,30,38,4700,26,105,4831
Age,60 to 64,Knee Replacement,EQ VAS,66.328,30,50,70,80,95,74.703,39,65,80,90,98,8.375,-30,-5,6.5,20,49.15,3301,561,1536,5398
